dataset	ID	subject	session	run	gender	age	genotype	strain	condition	mediso_ctl	Field	Coil	sequence	TR	TE	FA	volume	year	anesthesia	ventilation	dataset_ref	dataset_DOI	publication_PMID	publication_DOI	diagnostic
AD1	14	1287	a	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297123	10.1523/JNEUROSCI.4762-13.2033	pass
AD1	15	1287	c	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297124	10.1523/JNEUROSCI.4762-13.2034	pass
AD1	16	1287	e	1	M	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297126	10.1523/JNEUROSCI.4762-13.2036	pass
AD1	17	1288	b	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297128	10.1523/JNEUROSCI.4762-13.2038	pass
AD1	18	1288	e	1	M	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297130	10.1523/JNEUROSCI.4762-13.2040	pass
AD1	19	1289	c	1	M	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297132	10.1523/JNEUROSCI.4762-13.2042	pass
AD1	20	1289	d	1	M	2	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297133	10.1523/JNEUROSCI.4762-13.2043	pass
AD1	21	1290	b	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297135	10.1523/JNEUROSCI.4762-13.2045	pass
AD1	22	1290	d	1	M	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297137	10.1523/JNEUROSCI.4762-13.2047	pass
AD1	23	1290	e	1	M	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297138	10.1523/JNEUROSCI.4762-13.2048	pass
AD1	24	1291	b	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297139	10.1523/JNEUROSCI.4762-13.2049	pass
AD1	25	1291	c	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297140	10.1523/JNEUROSCI.4762-13.2050	pass
AD1	26	1291	e	1	M	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297142	10.1523/JNEUROSCI.4762-13.2052	pass
AD1	27	1292	b	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297143	10.1523/JNEUROSCI.4762-13.2053	pass
AD1	28	1292	c	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297144	10.1523/JNEUROSCI.4762-13.2054	pass
AD1	29	1292	d	1	M	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297145	10.1523/JNEUROSCI.4762-13.2055	pass
AD1	30	1292	e	1	M	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297146	10.1523/JNEUROSCI.4762-13.2056	pass
AD1	31	1293	a	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297147	10.1523/JNEUROSCI.4762-13.2057	pass
AD1	32	1293	c	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297148	10.1523/JNEUROSCI.4762-13.2058	pass
AD1	33	1293	e	1	M	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297150	10.1523/JNEUROSCI.4762-13.2060	pass
AD1	34	1294	c	1	M	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297152	10.1523/JNEUROSCI.4762-13.2062	pass
AD1	35	1295	b	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297155	10.1523/JNEUROSCI.4762-13.2065	pass
AD1	36	1296	b	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297159	10.1523/JNEUROSCI.4762-13.2069	pass
AD1	37	1296	c	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297160	10.1523/JNEUROSCI.4762-13.2070	pass
AD1	38	1296	d	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297161	10.1523/JNEUROSCI.4762-13.2071	pass
AD1	39	1296	e	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297162	10.1523/JNEUROSCI.4762-13.2072	pass
AD1	40	1297	b	1	F	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297163	10.1523/JNEUROSCI.4762-13.2073	pass
AD1	41	1297	c	1	F	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297164	10.1523/JNEUROSCI.4762-13.2074	pass
AD1	42	1297	d	1	F	2	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297165	10.1523/JNEUROSCI.4762-13.2075	pass
AD1	43	1297	e	1	F	2	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297166	10.1523/JNEUROSCI.4762-13.2076	pass
AD1	44	1298	a	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297167	10.1523/JNEUROSCI.4762-13.2077	pass
AD1	45	1298	c	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297168	10.1523/JNEUROSCI.4762-13.2078	pass
AD1	46	1298	d	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297169	10.1523/JNEUROSCI.4762-13.2079	pass
AD1	47	1298	e	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297170	10.1523/JNEUROSCI.4762-13.2080	pass
AD1	48	1299	a	1	M	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297171	10.1523/JNEUROSCI.4762-13.2081	pass
AD1	49	1299	c	1	M	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297172	10.1523/JNEUROSCI.4762-13.2082	pass
AD1	50	1299	d	1	M	2	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297173	10.1523/JNEUROSCI.4762-13.2083	pass
AD1	51	1299	e	1	M	2	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297174	10.1523/JNEUROSCI.4762-13.2084	pass
AD1	52	1300	b	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297175	10.1523/JNEUROSCI.4762-13.2085	pass
AD1	53	1300	c	1	M	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297176	10.1523/JNEUROSCI.4762-13.2086	pass
AD1	54	1300	d	1	M	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297177	10.1523/JNEUROSCI.4762-13.2087	pass
AD1	55	1301	b	1	M	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297179	10.1523/JNEUROSCI.4762-13.2089	pass
AD1	56	1301	c	1	M	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297180	10.1523/JNEUROSCI.4762-13.2090	pass
AD1	57	1302	a	1	M	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297183	10.1523/JNEUROSCI.4762-13.2093	pass
AD1	58	1302	c	1	M	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297184	10.1523/JNEUROSCI.4762-13.2094	pass
AD1	59	1302	e	1	M	2	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297186	10.1523/JNEUROSCI.4762-13.2096	pass
AD1	60	272148	a	1	F	19	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297187	10.1523/JNEUROSCI.4762-13.2097	pass
AD1	61	272148	b	1	F	19	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297188	10.1523/JNEUROSCI.4762-13.2098	pass
AD1	62	272150	b	1	F	19	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297193	10.1523/JNEUROSCI.4762-13.2103	pass
AD1	63	272150	d	1	F	21	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297194	10.1523/JNEUROSCI.4762-13.2104	pass
AD1	64	272151	a	1	F	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297195	10.1523/JNEUROSCI.4762-13.2105	pass
AD1	65	272151	b	1	F	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297196	10.1523/JNEUROSCI.4762-13.2106	pass
AD1	66	272151	e	1	F	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297197	10.1523/JNEUROSCI.4762-13.2107	pass
AD1	67	272151	f	1	F	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297198	10.1523/JNEUROSCI.4762-13.2108	pass
AD1	68	272152	a	1	F	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297199	10.1523/JNEUROSCI.4762-13.2109	pass
AD1	69	272152	e	1	F	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297202	10.1523/JNEUROSCI.4762-13.2112	pass
AD1	70	272153	a	1	F	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297203	10.1523/JNEUROSCI.4762-13.2113	pass
AD1	71	272153	b	1	F	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297204	10.1523/JNEUROSCI.4762-13.2114	pass
AD1	72	272153	d	1	F	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297205	10.1523/JNEUROSCI.4762-13.2115	pass
AD1	73	272153	e	1	F	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297206	10.1523/JNEUROSCI.4762-13.2116	pass
AD1	74	272154	b	1	F	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297208	10.1523/JNEUROSCI.4762-13.2118	pass
AD1	75	272154	d	1	F	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297209	10.1523/JNEUROSCI.4762-13.2119	pass
AD1	76	272154	e	1	F	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297210	10.1523/JNEUROSCI.4762-13.2120	pass
AD1	77	272155	a	1	F	8	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297211	10.1523/JNEUROSCI.4762-13.2121	pass
AD1	78	272156	a	1	F	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297215	10.1523/JNEUROSCI.4762-13.2125	pass
AD1	79	272156	b	1	F	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297216	10.1523/JNEUROSCI.4762-13.2126	pass
AD1	80	272156	d	1	F	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297217	10.1523/JNEUROSCI.4762-13.2127	pass
AD1	81	272156	e	1	F	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297218	10.1523/JNEUROSCI.4762-13.2128	pass
AD1	82	272157	b	1	M	8	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297220	10.1523/JNEUROSCI.4762-13.2130	pass
AD1	83	272157	d	1	M	11	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297221	10.1523/JNEUROSCI.4762-13.2131	pass
AD1	84	272157	e	1	M	11	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297222	10.1523/JNEUROSCI.4762-13.2132	pass
AD1	85	272158	a	1	M	8	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297223	10.1523/JNEUROSCI.4762-13.2133	pass
AD1	86	272158	b	1	M	8	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297224	10.1523/JNEUROSCI.4762-13.2134	pass
AD1	87	272158	d	1	M	11	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297225	10.1523/JNEUROSCI.4762-13.2135	pass
AD1	88	272159	a	1	M	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297227	10.1523/JNEUROSCI.4762-13.2137	pass
AD1	89	272159	b	1	M	8	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297228	10.1523/JNEUROSCI.4762-13.2138	pass
AD1	90	272159	d	1	M	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297229	10.1523/JNEUROSCI.4762-13.2139	pass
AD1	91	272159	e	1	M	11	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297230	10.1523/JNEUROSCI.4762-13.2140	pass
AD1	92	272160	b	1	F	19	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297232	10.1523/JNEUROSCI.4762-13.2142	pass
AD1	93	272160	d	1	F	21	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297233	10.1523/JNEUROSCI.4762-13.2143	pass
AD1	94	272161	b	1	M	19	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297234	10.1523/JNEUROSCI.4762-13.2144	pass
AD1	95	272161	c	1	M	19	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297235	10.1523/JNEUROSCI.4762-13.2145	pass
AD1	96	272161	d	1	M	21	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297236	10.1523/JNEUROSCI.4762-13.2146	pass
AD1	97	272163	a	1	M	19	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297237	10.1523/JNEUROSCI.4762-13.2147	pass
